,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Wed Nov 17, 11 PM - 12 AM","2,244 MW","2,199 MW",-45 MW,"14,231 MW","14,276 MW",487 tonnes,34 g/kWh,59.9%,20.3%,7.5%,11.8%,0.6%,0.0%,"8,519 MW","2,893 MW","1,062 MW","1,678 MW",79 MW,0 MW
"Wed Nov 17, 12 AM - 1 AM","1,887 MW","2,464 MW",577 MW,"14,206 MW","13,629 MW",245 tonnes,17 g/kWh,60.0%,20.4%,3.6%,15.5%,0.5%,0.0%,"8,524 MW","2,898 MW",516 MW,"2,198 MW",70 MW,0 MW
"Wed Nov 17, 1 AM - 2 AM","1,771 MW","2,539 MW",768 MW,"13,888 MW","13,120 MW",172 tonnes,12 g/kWh,61.4%,19.3%,2.6%,16.3%,0.4%,0.0%,"8,525 MW","2,676 MW",358 MW,"2,268 MW",61 MW,0 MW
"Wed Nov 17, 2 AM - 3 AM","1,861 MW","2,802 MW",941 MW,"13,879 MW","12,938 MW",113 tonnes,8 g/kWh,61.5%,18.7%,1.5%,17.9%,0.6%,0.0%,"8,529 MW","2,590 MW",202 MW,"2,478 MW",80 MW,0 MW
"Wed Nov 17, 3 AM - 4 AM","1,518 MW","2,749 MW","1,231 MW","14,074 MW","12,843 MW",110 tonnes,8 g/kWh,60.6%,18.5%,1.4%,19.0%,0.5%,0.0%,"8,533 MW","2,607 MW",192 MW,"2,673 MW",69 MW,0 MW
"Wed Nov 17, 4 AM - 5 AM","1,247 MW","2,784 MW","1,537 MW","14,409 MW","12,872 MW",156 tonnes,11 g/kWh,59.2%,18.8%,2.1%,19.5%,0.4%,0.0%,"8,532 MW","2,706 MW",308 MW,"2,803 MW",60 MW,0 MW
"Wed Nov 17, 5 AM - 6 AM","1,849 MW","2,957 MW","1,108 MW","14,561 MW","13,453 MW",244 tonnes,17 g/kWh,58.7%,19.1%,3.7%,18.2%,0.4%,0.0%,"8,543 MW","2,780 MW",532 MW,"2,645 MW",61 MW,0 MW
"Wed Nov 17, 6 AM - 7 AM","1,887 MW","2,861 MW",974 MW,"15,532 MW","14,558 MW",275 tonnes,18 g/kWh,55.0%,20.0%,3.9%,20.6%,0.5%,0.0%,"8,544 MW","3,114 MW",599 MW,"3,203 MW",72 MW,0 MW
"Wed Nov 17, 7 AM - 8 AM","1,561 MW","2,534 MW",973 MW,"16,717 MW","15,744 MW",327 tonnes,20 g/kWh,51.1%,22.9%,4.3%,21.3%,0.5%,0.0%,"8,543 MW","3,820 MW",712 MW,"3,563 MW",77 MW,2 MW
"Wed Nov 17, 8 AM - 9 AM","1,508 MW","2,241 MW",733 MW,"16,894 MW","16,161 MW",362 tonnes,21 g/kWh,50.5%,23.1%,4.7%,21.1%,0.5%,0.1%,"8,538 MW","3,898 MW",801 MW,"3,566 MW",79 MW,12 MW
"Wed Nov 17, 9 AM - 10 AM","1,598 MW","2,773 MW","1,175 MW","17,459 MW","16,284 MW",445 tonnes,25 g/kWh,48.8%,25.5%,5.6%,19.3%,0.4%,0.2%,"8,525 MW","4,460 MW",983 MW,"3,372 MW",77 MW,42 MW
