,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Sat Jun 17, 1 AM - 2 AM",9 MW,"1,428 MW","1,419 MW","13,787 MW","12,368 MW",573 tonnes,42 g/kWh,58.3%,24.2%,8.5%,8.5%,0.5%,0.0%,"8,038 MW","3,342 MW","1,172 MW","1,170 MW",65 MW,0 MW
"Sat Jun 17, 2 AM - 3 AM",9 MW,"1,306 MW","1,297 MW","13,265 MW","11,968 MW",422 tonnes,32 g/kWh,60.6%,25.8%,6.0%,7.4%,0.2%,0.0%,"8,041 MW","3,418 MW",793 MW,987 MW,26 MW,0 MW
"Sat Jun 17, 3 AM - 4 AM",9 MW,"1,440 MW","1,431 MW","13,179 MW","11,748 MW",418 tonnes,32 g/kWh,61.0%,25.9%,5.9%,7.0%,0.1%,0.0%,"8,044 MW","3,419 MW",773 MW,927 MW,16 MW,0 MW
"Sat Jun 17, 4 AM - 5 AM",9 MW,"1,329 MW","1,320 MW","12,997 MW","11,677 MW",391 tonnes,30 g/kWh,61.9%,25.7%,5.5%,6.7%,0.1%,0.0%,"8,049 MW","3,340 MW",719 MW,873 MW,16 MW,0 MW
"Sat Jun 17, 5 AM - 6 AM",9 MW,"1,436 MW","1,427 MW","13,084 MW","11,657 MW",424 tonnes,32 g/kWh,61.6%,26.2%,6.0%,6.1%,0.1%,0.0%,"8,058 MW","3,428 MW",784 MW,798 MW,16 MW,0 MW
"Sat Jun 17, 6 AM - 7 AM",9 MW,"1,362 MW","1,353 MW","13,186 MW","11,833 MW",416 tonnes,32 g/kWh,61.2%,26.1%,6.5%,6.1%,0.1%,0.1%,"8,068 MW","3,435 MW",851 MW,798 MW,15 MW,19 MW
"Sat Jun 17, 7 AM - 8 AM",9 MW,"1,069 MW","1,060 MW","13,472 MW","12,412 MW",462 tonnes,34 g/kWh,59.9%,26.0%,8.7%,4.7%,0.1%,0.6%,"8,076 MW","3,500 MW","1,169 MW",636 MW,15 MW,76 MW
"Sat Jun 17, 8 AM - 9 AM",9 MW,"1,110 MW","1,101 MW","14,067 MW","12,966 MW",675 tonnes,48 g/kWh,57.4%,26.2%,13.1%,2.1%,0.1%,1.2%,"8,070 MW","3,688 MW","1,838 MW",292 MW,16 MW,163 MW
"Sat Jun 17, 9 AM - 10 AM",9 MW,"1,208 MW","1,199 MW","14,624 MW","13,425 MW",849 tonnes,58 g/kWh,55.2%,26.0%,15.1%,1.7%,0.1%,1.8%,"8,074 MW","3,806 MW","2,211 MW",247 MW,16 MW,270 MW
"Sat Jun 17, 10 AM - 11 AM",9 MW,835 MW,826 MW,"14,737 MW","13,911 MW",848 tonnes,58 g/kWh,54.8%,25.3%,15.0%,2.5%,0.1%,2.4%,"8,077 MW","3,722 MW","2,204 MW",364 MW,16 MW,354 MW
"Sat Jun 17, 11 AM - 12 PM",9 MW,"1,179 MW","1,170 MW","15,187 MW","14,017 MW",866 tonnes,57 g/kWh,53.1%,25.9%,14.8%,3.4%,0.1%,2.6%,"8,071 MW","3,939 MW","2,254 MW",514 MW,17 MW,392 MW
"Sat Jun 17, 12 PM - 1 PM",9 MW,"1,261 MW","1,252 MW","15,451 MW","14,199 MW",953 tonnes,62 g/kWh,52.2%,25.8%,15.9%,3.8%,0.1%,2.2%,"8,059 MW","3,994 MW","2,450 MW",593 MW,16 MW,339 MW
"Sat Jun 17, 1 PM - 2 PM",9 MW,"1,148 MW","1,139 MW","15,501 MW","14,362 MW",980 tonnes,63 g/kWh,51.9%,25.2%,16.4%,4.1%,0.1%,2.2%,"8,049 MW","3,908 MW","2,547 MW",638 MW,16 MW,343 MW
"Sat Jun 17, 2 PM - 3 PM",9 MW,"1,291 MW","1,282 MW","15,686 MW","14,404 MW","1,043 tonnes",67 g/kWh,51.3%,24.4%,17.7%,4.4%,0.1%,2.1%,"8,041 MW","3,835 MW","2,779 MW",685 MW,16 MW,330 MW
"Sat Jun 17, 3 PM - 4 PM",9 MW,"1,263 MW","1,254 MW","15,882 MW","14,628 MW","1,090 tonnes",69 g/kWh,50.6%,24.1%,18.8%,4.5%,0.1%,1.9%,"8,039 MW","3,823 MW","2,983 MW",714 MW,21 MW,302 MW
"Sat Jun 17, 4 PM - 5 PM",9 MW,"1,354 MW","1,345 MW","16,400 MW","15,055 MW","1,130 tonnes",69 g/kWh,49.0%,24.5%,20.0%,4.7%,0.3%,1.5%,"8,033 MW","4,024 MW","3,287 MW",763 MW,50 MW,243 MW
"Sat Jun 17, 5 PM - 6 PM",109 MW,"1,322 MW","1,213 MW","16,742 MW","15,529 MW","1,133 tonnes",68 g/kWh,48.1%,26.1%,19.6%,4.8%,0.4%,1.0%,"8,058 MW","4,366 MW","3,288 MW",805 MW,65 MW,160 MW
"Sat Jun 17, 6 PM - 7 PM",590 MW,"1,461 MW",871 MW,"16,520 MW","15,649 MW","1,119 tonnes",68 g/kWh,48.8%,26.3%,19.6%,4.4%,0.4%,0.6%,"8,064 MW","4,342 MW","3,231 MW",720 MW,65 MW,98 MW
"Sat Jun 17, 8 PM - 9 PM",599 MW,"1,641 MW","1,042 MW","16,357 MW","15,315 MW","1,150 tonnes",70 g/kWh,49.3%,26.4%,20.4%,3.4%,0.4%,0.1%,"8,069 MW","4,325 MW","3,335 MW",554 MW,65 MW,9 MW
"Sat Jun 17, 9 PM - 10 PM",111 MW,"1,211 MW","1,100 MW","16,125 MW","15,025 MW","1,146 tonnes",71 g/kWh,50.1%,26.3%,20.5%,2.6%,0.4%,0.0%,"8,076 MW","4,244 MW","3,311 MW",427 MW,67 MW,0 MW
